promo_duration_days,promo_investment,promo_price_unit,year,end_date,start_date,event_id,offer_mechanic,ppg_id,promo_tactic,retailer,subsegment_name,promo_duration_weeks,no_promo_price_unit,avg_price_unit,Redemption Rate,volume_lift_pct,total_volume,month,avg_base_volume,ppg-retailer,yearweek,week,volume,revenue,baseline,incremental_volume,promo_investment,incr_revenue,roi,discount
7.0,2.058996862982999,2.9847219375873317,2021,2021-06-26,2021-06-20,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-06-20|2021-06-26|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.0199159797083075,2.9847219375873317,1.0,150.0,58.50413135,6,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202125.0,25.0,58.50413135,32040.99,23.40165254,3510.2478810000002,2.058996862982999,10477.113856790145,426208.50280394335,0.011653980560206
7.0,,2.969010529849645,2021,2021-07-03,2021-06-27,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-06-27|2021-07-03|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.019915979708307,2.982822021248573,0.7286834427890234,,,6,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202126.0,26.0,,,,,,,,0.01685657819645
7.0,2.525288196595699,2.9558031454424185,2021,2021-07-10,2021-07-04,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-07-04|2021-07-10|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.0199159797083066,2.976751708428246,0.6732547667608979,150.0,58.50413135,7,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202127.0,27.0,58.50413135,32669.85,23.40165254,3510.2478810000002,2.525288196595699,10375.601727942385,347509.6313494148,0.0212300059659542
7.0,0.5004598614608198,3.011361714395541,2021,2021-07-17,2021-07-11,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-07-11|2021-07-17|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.019915979708307,3.011361714395541,1.0,150.0,58.50413135,7,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202128.0,28.0,58.50413135,31336.23,23.40165254,3510.2478810000002,0.5004598614608198,10570.626076881475,1753511.1960596326,0.00283261699009
7.0,3.771513258088676,2.913566566568084,2021,2021-07-24,2021-07-18,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-07-18|2021-07-24|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.019915979708307,2.9554502202643174,0.6061693952085161,150.0,58.50413135,7,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202129.0,29.0,58.50413135,33544.36,23.40165254,3510.2478810000002,3.771513258088676,10227.340866448063,232681.66123184466,0.0352160172186298
7.0,21.316857185363155,2.612238935279856,2021,2021-08-14,2021-08-08,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-08-08|2021-08-14|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.019915979708307,2.6555509905448,0.8937589058376688,150.0,58.50413135,8,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202132.0,32.0,58.50413135,47183.83,23.40165254,3510.2478810000002,21.316857185363155,9169.606187231811,41167.51182498715,0.13499615458435
7.0,44.37089867356539,2.175339872606937,2021,2021-08-21,2021-08-15,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-08-15|2021-08-21|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.0113617143955405,2.2529383748861096,0.9071812500578258,150.0,58.50413135,8,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202133.0,33.0,58.50413135,54399.45,23.40165254,3510.2478810000002,44.37089867356539,7635.982178273312,19777.87235517094,0.277622524651249
7.0,51.11277705497802,2.1540923741348066,2021,2021-12-25,2021-12-19,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2021-12-19|2021-12-25|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.109400754716981,2.2357397691500527,0.9145329438380002,150.0,58.50413135,12,433891.5276198182,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202151.0,51.0,58.50413135,34090.56,23.40165254,3510.2478810000002,51.11277705497802,7561.398191784964,17169.13110211318,0.3072323112847276
7.0,3.4499262414289027,2.5943115052920778,2022,2022-03-05,2022-02-27,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2022-02-27|2022-03-05|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,2.7629739350097595,2.7040050013324133,0.3496269665749035,150.0,58.50413135,3,296405.8001603784,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202209.0,9.0,58.50413135,24048.42,23.40165254,3510.2478810000002,3.4499262414289027,9106.676464105436,254371.22675600398,0.06104380051529
7.0,10.617609058124716,3.5420001041408136,2022,2022-10-29,2022-10-23,AHOLD|Display Only|APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT|2022-10-23|2022-10-29|unknown|SURFACECARE,unknown,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNT,Display Only,AHOLD,APC WIPES,1.0,3.80148638330364,3.620001609269392,0.6994002712581475,150.0,58.50413135,10,296405.8001603784,APC WIPES | DISPENSER_CANISTER | LYSOL | LYSOL SB | 1 X 35 COUNTAHOLD,202243.0,43.0,58.50413135,22494.69,23.40165254,3510.2478810000002,10.617609058124716,12433.298360062072,82651.56170715098,0.0682591631269562
